Date,Open,High,Low,Close,Volume,Adj Close
2015-02-20,23.10,23.62,22.78,23.04,3352200,23.04
2015-02-19,22.16,23.73,21.44,23.06,3676500,23.06
2015-02-18,24.32,24.75,22.79,23.03,2475500,23.03
2015-02-17,23.87,23.92,22.57,23.89,2374500,23.89
