Date,Open,High,Low,Close,Volume,Adj Close
2015-02-20,23.24,23.24,22.90,23.07,27900,23.07
2015-02-19,23.44,23.53,23.05,23.18,25900,23.18
2015-02-18,23.21,23.59,23.21,23.52,10500,23.52
2015-02-17,23.00,23.40,23.00,23.18,17700,23.18
