Date,Open,High,Low,Close,Volume,Adj Close
2015-02-20,7.12,7.30,7.00,7.30,18100,7.30
2015-02-19,7.11,7.24,7.03,7.23,17700,7.23
2015-02-18,7.18,7.44,7.18,7.44,36200,7.44
2015-02-17,7.18,7.26,6.97,7.26,63300,7.26
