Date,Open,High,Low,Close,Volume,Adj Close
2015-02-20,9.24,9.43,9.16,9.36,3492700,9.36
2015-02-19,9.18,9.26,9.18,9.21,2590900,9.21
2015-02-18,9.20,9.28,9.12,9.23,1891500,9.23
2015-02-17,9.22,9.26,9.17,9.18,1593300,9.18
